YearsExperience,EducationLevel,JobDescription,Salary
6,Bachelor,Project manager with Agile and Scrum expertise,104442
19,PhD,Customer support representative with CRM experience,182890
14,PhD,Customer support representative with CRM experience,85598
10,High School,Project manager with Agile and Scrum expertise,163726
7,Bachelor,Customer support representative with CRM experience,63758
20,Master,Graphic designer with Adobe Creative Suite proficiency,54204
6,Master,Data scientist proficient in machine learning and Python,157309
18,Bachelor,Marketing specialist with SEO and SEM experience,196000
10,PhD,Full stack developer skilled in React and Node.js,60552
10,PhD,Customer support representative with CRM experience,171408
20,Master,Customer support representative with CRM experience,77037
3,Master,Financial analyst familiar with Excel and financial modeling,177278
7,Master,Marketing specialist with SEO and SEM experience,64831
2,High School,Software engineer with experience in backend systems,73563
20,Master,Marketing specialist with SEO and SEM experience,48361
1,High School,Marketing specialist with SEO and SEM experience,71335
11,Bachelor,Project manager with Agile and Scrum expertise,104469
5,PhD,Project manager with Agile and Scrum expertise,55816
1,Master,Project manager with Agile and Scrum expertise,176691
20,PhD,Full stack developer skilled in React and Node.js,122479
0,PhD,Graphic designer with Adobe Creative Suite proficiency,56819
11,Master,Marketing specialist with SEO and SEM experience,172813
11,Master,Full stack developer skilled in React and Node.js,152330
16,Bachelor,Customer support representative with CRM experience,38798
9,High School,Project manager with Agile and Scrum expertise,186215
15,High School,Customer support representative with CRM experience,79695
14,PhD,Project manager with Agile and Scrum expertise,193819
14,Master,Data scientist proficient in machine learning and Python,159544
18,Bachelor,Full stack developer skilled in React and Node.js,182254
11,Bachelor,Full stack developer skilled in React and Node.js,39415
19,Bachelor,Graphic designer with Adobe Creative Suite proficiency,172157
2,Bachelor,Software engineer with experience in backend systems,176080
4,Bachelor,Financial analyst familiar with Excel and financial modeling,117638
18,High School,Marketing specialist with SEO and SEM experience,48452
6,High School,Software engineer with experience in backend systems,169192
20,High School,Full stack developer skilled in React and Node.js,140205
8,Master,Software engineer with experience in backend systems,48170
6,PhD,Data scientist proficient in machine learning and Python,46259
17,Bachelor,Financial analyst familiar with Excel and financial modeling,52099
3,Master,Graphic designer with Adobe Creative Suite proficiency,170721
13,Bachelor,Full stack developer skilled in React and Node.js,159394
17,High School,Full stack developer skilled in React and Node.js,89258
8,Master,Marketing specialist with SEO and SEM experience,41805
20,High School,Graphic designer with Adobe Creative Suite proficiency,73147
1,Bachelor,Graphic designer with Adobe Creative Suite proficiency,104280
19,Bachelor,Project manager with Agile and Scrum expertise,136777
14,PhD,Financial analyst familiar with Excel and financial modeling,127841
6,Bachelor,Data scientist proficient in machine learning and Python,154726
11,High School,Customer support representative with CRM experience,158359
